LearningStandardId,Description,CourseTitle,Namespace,ContentStandard.Title,GradeLevel.CodeValue,GradeLevel.Namespace,AcademicSubject.CodeValue,AcademicSubject.Namespace
111.32.NA.A.9.B,"investigate, describe, and predict the effects of changes in a on the graph of y = ax2 + c;",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.9.C,"investigate, describe, and predict the effects of changes in c on the graph of y = ax2 + c",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.9.D,analyze graphs of quadratic functions and draw conclusions.,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.10.A,"solve quadratic equations using concrete models, tables, graphs, and algebraic methods",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.10.B,"make connections among the solutions (roots) of quadratic equations, the zeros of their related functions, and the horizontal intercepts (x-intercepts) of the graph of the function.",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.11.A,use patterns to generate the laws of exponents and apply them in problem-solving situations;,Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.11.B,"analyze data and represent situations involving inverse variation using concrete models, tables, graphs, or algebraic methods",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.32.NA.A.11.C,"analyze data and represent situations involving exponential growth and decay using concrete models, tables, graphs, or algebraic methods.",Algebra I,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Ninth grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.1.A,identify the mathematical domains and ranges of functions and determine reasonable domain and range values for continuous and discrete situations,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.1.B,"collect and organize data, make and interpret scatterplots, fit the graph of a function to the data, interpret the results, and proceed to model, predict, and make decisions and critical judgments.",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.2.A,use tools including factoring and properties of exponents to simplify expressions and to transform and solve equations,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.2.B,use complex numbers to describe the solutions of quadratic equations.,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.3.A,analyze situations and formulate systems of equations in two or more unknowns or inequalities in two unknowns to solve problems;,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.3.B,"use algebraic methods, graphs, tables, or matrices, to solve systems of equations or inequalities",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.3.C,interpret and determine the reasonableness of solutions to systems of equations or inequalities for given contexts.,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.4.A,"identify and sketch graphs of parent functions, including linear (f(x) = x), quadratic (f(x) = x), exponential (f(x) = a^x), and logarithmic (f(x) = log_a x) functions, absolute value of x (f(x) = |x|), square root of x (f(x) = vx), and reciprocal of x (f(x) = 1/x);",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.4.B,extend parent functions with parameters such as a in f(x) = a/x and describe the effects of the parameter changes on the graph of parent functions,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.4.C,describe and analyze the relationship between a function and its inverse.,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.5.A,describe a conic section as the intersection of a plane and a cone;,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.5.B,sketch graphs of conic sections to relate simple parameter changes in the equation to corresponding changes in the graph;,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.5.C,identify symmetries from graphs of conic sections;,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.5.D,identify the conic section from a given equation,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.5.E,use the method of completing the square.,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.6.A,"determine the reasonable domain and range values of quadratic functions, as well as interpret and determine the reasonableness of solutions to quadratic equations and inequalities;",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.6.B,"relate representations of quadratic functions, such as algebraic, tabular, graphical, and verbal descriptions",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.6.C,determine a quadratic function from its roots (real and complex) or a graph.,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.7.A,use characteristics of the quadratic parent function to sketch the related graphs and connect between the y = ax2 + bx + c and the y = a(x - h)2 + k symbolic representations of quadratic functions,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.7.B,"use the parent function to investigate, describe, and predict the effects of changes in a, h, and k on the graphs of y = a(x - h)2 + k form of a function in applied and purely mathematical situations.",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.8.A,analyze situations involving quadratic functions and formulate quadratic equations or inequalities to solve problems;,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.8.B,analyze and interpret the solutions of quadratic equations using discriminants and solve quadratic equations using the quadratic formula;,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.8.C,compare and translate between algebraic and graphical solutions of quadratic equations,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.8.D,"solve quadratic equations and inequalities using graphs, tables, and algebraic methods.",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.9.A,"use the parent function to investigate, describe, and predict the effects of parameter changes on the graphs of square root functions and describe limitations on the domains and ranges;",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.9.B,"relate representations of square root functions, such as algebraic, tabular, graphical, and verbal descriptions;",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.9.C,"determine the reasonable domain and range values of square root functions, as well as interpret and determine the reasonableness of solutions to square root equations and inequalities;",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.9.D,"determine solutions of square root equations using graphs, tables, and algebraic methods;",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.9.E,determine solutions of square root inequalities using graphs and tables;,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.9.F,"analyze situations modeled by square root functions, formulate equations or inequalities, select a method, and solve problems",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.9.G,connect inverses of square root functions with quadratic functions.,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.10.A,"use quotients of polynomials to describe the graphs of rational functions, predict the effects of parameter changes, describe limitations on the domains and ranges, and examine asymptotic behavior;",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.10.B,analyze various representations of rational functions with respect to problem situations;,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.10.C,"determine the reasonable domain and range values of rational functions, as well as interpret and determine the reasonableness of solutions to rational equations and inequalities;",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.10.D,"determine the solutions of rational equations using graphs, tables, and algebraic methods;",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.10.E,determine solutions of rational inequalities using graphs and tables;,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.10.F,"analyze a situation modeled by a rational function, formulate an equation or inequality composed of a linear or quadratic function, and solve the problem",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.10.G,use functions to model and make predictions in problem situations involving direct and inverse variation.,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.11.A,develop the definition of logarithms by exploring and describing the relationship between exponential functions and their inverses;,Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.11.B,"use the parent functions to investigate, describe, and predict the effects of parameter changes on the graphs of exponential and logarithmic functions, describe limitations on the domains and ranges, and examine asymptotic behavior;",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.11.C,"determine the reasonable domain and range values of exponential and logarithmic functions, as well as interpret and determine the reasonableness of solutions to exponential and logarithmic equations and inequalities;",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
111.33.b.2A.11.D,"determine solutions of exponential and logarithmic equations using graphs, tables, and algebraic methods;",Algebra II,uri://ed-fi.org/LearningStandard/LearningStandard.xml,State Standard,Eleventh grade,http://www.ed-fi.org/Descriptor/GradeLevelDescriptor.xml,Mathematics,http://www.ed-fi.org/Descriptor/AcademicSubjectDescriptor.xml
