SectionIdentifier,SequenceOfCourse,EducationalEnvironment,InstructionLanguage,AvailableCredits.CreditConversion,AvailableCredits.CreditType,AvailableCredits.Credits1,CourseOfferingReference.id,CourseOfferingReference.ref,CourseOfferingReference.CourseOfferingIdentity.LocalCourseCode,CourseOfferingReference.CourseOfferingIdentity.SessionReference.id,CourseOfferingReference.CourseOfferingIdentity.SessionReference.ref,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionIdentity.SchoolYear,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionIdentity.SessionName,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionIdentity.SchoolReference.id,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionIdentity.SchoolReference.ref,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionIdentity.SchoolReference.SchoolIdentity.SchoolId,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.SchoolYear,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.SessionName,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.Term,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.SchoolReference.id,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.SchoolReference.ref,CourseOfferingReference.CourseOfferingIdentity.SessionReference.SessionLookup.SchoolReference.SchoolIdentity.SchoolId,CourseOfferingReference.CourseOfferingIdentity.SchoolReference.id,CourseOfferingReference.CourseOfferingIdentity.SchoolReference.ref,CourseOfferingReference.CourseOfferingIdentity.SchoolReference.SchoolIdentity.SchoolId,LocationSchoolReference.id,LocationSchoolReference.ref,LocationSchoolReference.SchoolIdentity.SchoolId,LocationReference.id,LocationReference.ref,LocationReference.LocationIdentity.ClassroomIdentificationCode,LocationReference.LocationIdentity.SchoolReference.id,LocationReference.LocationIdentity.SchoolReference.ref,LocationReference.LocationIdentity.SchoolReference.SchoolIdentity.SchoolId,ClassPeriodReference.id,ClassPeriodReference.ref,ClassPeriodReference.ClassPeriodIdentity.ClassPeriodName,ClassPeriodReference.ClassPeriodIdentity.SchoolReference.id,ClassPeriodReference.ClassPeriodIdentity.SchoolReference.ref,ClassPeriodReference.ClassPeriodIdentity.SchoolReference.SchoolIdentity.SchoolId,ProgramReference.ProgramIdentity.ProgramName,ProgramReference.ProgramIdentity.ProgramType,ProgramReference.ProgramIdentity.EducationOrganizationReference.id,ProgramReference.ProgramIdentity.EducationOrganizationReference.ref,ProgramReference.ProgramIdentity.EducationOrganizationReference.EducationOrganizationIdentity.EducationOrganizationId
255901001_01-Traditional_CL11_110_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,CL-11,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,110,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_CL12_111_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,CL-12,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,111,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_CREATWR_112_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,CREAT-WR,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,112,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_ECOFE_113_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,ECO-FE,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,113,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_ENG1_114_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,ENG-1,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,114,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_ENG2_115_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,ENG-2,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,115,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_ENG3_116_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,ENG-3,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,116,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_ENG4_117_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,ENG-4,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,117,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_ENVIRSYS_118_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,ENVIRSYS,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,118,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_GEOM_119_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,GEOM,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,119,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_GOVT_120_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,GOVT,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,120,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_HLTHED_121_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,HLTH-ED,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,121,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_HUMT_122_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,HUMT,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,122,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_PE09_123_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,PE-09,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,123,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_PE10_124_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,PE-10,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,124,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_PE11_125_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,PE-11,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,125,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_PE12_126_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,PE-12,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,126,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_PHOTJOUR_127_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,PHOTJOUR,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,127,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_PHYSICS_128_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,PHYSICS,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,128,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_PRECALC_129_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,PRE-CALC,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,129,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_PS09_130_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,PS-09,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,130,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_PSYI_131_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,PSY-I,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,131,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_SPAN1_132_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SPAN-1,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,132,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_SPAN2_133_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SPAN-2,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,133,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_SPAN3_134_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,SPAN-3,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,134,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_TAMULTIM_135_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,TAMULTIM,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,135,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_USHIST_136_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,US-HIST,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,136,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_WGEO_137_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,WGEO,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,137,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_WHIST_138_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,W-HIST,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,138,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_WSI_139_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,WS-I,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,139,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_HONALG1_140_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,HON-ALG-1,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,140,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_HONALG2_141_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,HON-ALG-2,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,141,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_HONBIO_142_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,HON-BIO,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,142,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_HONCHEM_143_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,HON-CHEM,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,143,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_HONENG1_144_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,HON-ENG-1,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,144,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
255901001_01-Traditional_HONENG2_145_20162017,,uri://ed-fi.org/EducationalEnvironmentDescriptor#Classroom,uri://ed-fi.org/LanguageDescriptor#eng,,,1,,,HON-ENG-2,,,2016-2017,2016 - 2017 Fall Semester,,,255901001,,2016 - 2017 Fall Semester,uri://ed-fi.org/TermDescriptor#Fall Semester,,,255901001,,,255901001,,,255901001,,,145,,,255901001,,,01 - Traditional,,,255901001,Regular Education,uri://ed-fi.org/ProgramTypeDescriptor#Regular Education,,,255901
